hora	Porcentagem(%)	tensão da bateria(V)	corrente(mA)	temperatura LM35(°C)		

7:00	42				3.797					1778			31.68
7:05	45				3.999					1770			33.12
7:10	48				4.019					1760			35.04
7:15	51				4.037					1760			34.56
7:20	54				4.059					1755			35.52
7:25	57				4.087					1716			35.04
7:30	60				4.114					1732			35.52
7:35	63				4.141					1715			36.00
7:40	67				4.167					1707			36.48
7:45	70				4.198					1711			35.52	
7:50	73				4.226					1695			35.52
7:55	75				4.258					1686			36.00
8:00	79				4.293					1671			35.04
8:05	82				4.327					1670			35.52
8:10	85				4.364					1613			35.52
8:15	88				4.398					1595			34.56
8:20	91				4.399					1305			35.04
8:25	93				4.399					1040			34.56
8:30	94				4.400					838				34.08
8:35	96				4.400					687				33.12
8:40	97				4.400					568				32.64
8:45	99				4.400					480				32.64
8:46	100				4.400					460				32.64
